ID,DOX,x0,x1
0,2,0,0
1,2,0,0.0816327
2,2,0,0.163265
3,2,0,0.244898
4,2,0,0.326531
5,2,0,0.408163
6,2,0,0.489796
7,2,0,0.571429
8,2,0,0.653061
9,2,0,0.734694
10,2,0,0.816327
11,2,0,0.897959
12,2,0,0.979592
13,2,0,1.06122
14,2,0,1.14286
15,2,0,1.22449
16,2,0,1.30612
17,2,0,1.38776
18,2,0,1.46939
19,2,0,1.55102
20,2,0,1.63265
21,2,0,1.71429
22,2,0,1.79592
23,2,0,1.87755
24,2,0,1.95918
25,2,0,2.04082
26,2,0,2.12245
27,2,0,2.20408
28,2,0,2.28571
29,2,0,2.36735
30,2,0,2.44898
31,2,0,2.53061
32,2,0,2.61224
33,2,0,2.69388
34,2,0,2.77551
35,2,0,2.85714
36,2,0,2.93878
37,2,0,3.02041
38,2,0,3.10204
39,2,0,3.18367
40,2,0,3.26531
41,2,0,3.34694
42,2,0,3.42857
43,2,0,3.5102
44,2,0,3.59184
45,2,0,3.67347
46,2,0,3.7551
47,2,0,3.83673
48,2,0,3.91837
49,2,0,4
50,2,0.000740205,4.09424
51,2,0.00296064,4.18846
52,2,0.00666075,4.28264
53,2,0.0118396,4.37674
54,2,0.018496,4.47075
55,2,0.0266282,4.56465
56,2,0.0362343,4.65841
57,2,0.0473118,4.752
58,2,0.0598581,4.84541
59,2,0.07387,4.93861
60,2,0.089344,5.03157
61,2,0.106276,5.12429
62,2,0.124663,5.21672
63,2,0.144499,5.30886
64,2,0.16578,5.40067
65,2,0.188501,5.49214
66,2,0.212655,5.58324
67,2,0.238238,5.67395
68,2,0.265242,5.76424
69,2,0.293661,5.8541
70,2,0.323488,5.9435
71,2,0.354715,6.03243
72,2,0.387336,6.12085
73,2,0.421341,6.20875
74,2,0.456723,6.2961
75,2,0.493472,6.38289
76,2,0.53158,6.46909
77,2,0.571038,6.55468
78,2,0.611835,6.63964
79,2,0.653961,6.72394
80,2,0.697406,6.80758
81,2,0.74216,6.89052
82,2,0.788211,6.97275
83,2,0.835548,7.05425
84,2,0.884159,7.13499
85,2,0.934032,7.21496
86,2,0.985156,7.29414
87,2,1.03752,7.3725
88,2,1.0911,7.45003
89,2,1.1459,7.52671
90,2,1.20189,7.60252
91,2,1.25907,7.67744
92,2,1.31742,7.75146
93,2,1.37692,7.82454
94,2,1.43756,7.89669
95,2,1.49933,7.96787
96,2,1.56221,8.03808
97,2,1.62619,8.10728
98,2,1.69124,8.17548
99,2,1.75736,8.24264
100,2,1.82452,8.30876
101,2,1.89272,8.37381
102,2,1.96192,8.43779
103,2,2.03213,8.50067
104,2,2.10331,8.56244
105,2,2.17546,8.62308
106,2,2.24854,8.68258
107,2,2.32256,8.74093
108,2,2.39748,8.79811
109,2,2.47329,8.8541
110,2,2.54997,8.9089
111,2,2.6275,8.96248
112,2,2.70586,9.01484
113,2,2.78504,9.06597
114,2,2.86501,9.11584
115,2,2.94575,9.16445
116,2,3.02725,9.21179
117,2,3.10948,9.25784
118,2,3.19242,9.30259
119,2,3.27606,9.34604
120,2,3.36036,9.38817
121,2,3.44532,9.42896
122,2,3.53091,9.46842
123,2,3.61711,9.50653
124,2,3.7039,9.54328
125,2,3.79125,9.57866
126,2,3.87915,9.61266
127,2,3.96757,9.64528
128,2,4.0565,9.67651
129,2,4.1459,9.70634
130,2,4.23576,9.73476
131,2,4.32605,9.76176
132,2,4.41676,9.78734
133,2,4.50786,9.8115
134,2,4.59933,9.83422
135,2,4.69114,9.8555
136,2,4.78328,9.87534
137,2,4.87571,9.89372
138,2,4.96843,9.91066
139,2,5.06139,9.92613
140,2,5.15459,9.94014
141,2,5.248,9.95269
142,2,5.34159,9.96377
143,2,5.43535,9.97337
144,2,5.52925,9.9815
145,2,5.62326,9.98816
146,2,5.71736,9.99334
147,2,5.81154,9.99704
148,2,5.90576,9.99926
149,2,6,10
150,2,6.08163,10
151,2,6.16327,10
152,2,6.2449,10
153,2,6.32653,10
154,2,6.40816,10
155,2,6.4898,10
156,2,6.57143,10
157,2,6.65306,10
158,2,6.73469,10
159,2,6.81633,10
160,2,6.89796,10
161,2,6.97959,10
162,2,7.06122,10
163,2,7.14286,10
164,2,7.22449,10
165,2,7.30612,10
166,2,7.38776,10
167,2,7.46939,10
168,2,7.55102,10
169,2,7.63265,10
170,2,7.71429,10
171,2,7.79592,10
172,2,7.87755,10
173,2,7.95918,10
174,2,8.04082,10
175,2,8.12245,10
176,2,8.20408,10
177,2,8.28571,10
178,2,8.36735,10
179,2,8.44898,10
180,2,8.53061,10
181,2,8.61224,10
182,2,8.69388,10
183,2,8.77551,10
184,2,8.85714,10
185,2,8.93878,10
186,2,9.02041,10
187,2,9.10204,10
188,2,9.18367,10
189,2,9.26531,10
190,2,9.34694,10
191,2,9.42857,10
192,2,9.5102,10
193,2,9.59184,10
194,2,9.67347,10
195,2,9.7551,10
196,2,9.83673,10
197,2,9.91837,10
198,2,10,10
199,2,0.0816327,0
200,2,0.0817269,0.0815353
201,2,0.0818217,0.16307
202,2,0.0819174,0.244604
203,2,0.0820145,0.326137
204,2,0.0821133,0.407668
205,2,0.0822142,0.489198
206,2,0.0823176,0.570725
207,2,0.0824239,0.652251
208,2,0.0825336,0.733773
209,2,0.082647,0.815293
210,2,0.0827647,0.896809
211,2,0.0828872,0.978322
212,2,0.0830148,1.05983
213,2,0.0831482,1.14133
214,2,0.0832878,1.22283
