ID,NON,n0,n1,n2,n3
0,4,0,199,200,1
1,4,1,200,201,2
2,4,2,201,202,3
3,4,3,202,203,4
4,4,4,203,204,5
5,4,5,204,205,6
6,4,6,205,206,7
7,4,7,206,207,8
8,4,8,207,208,9
9,4,9,208,209,10
10,4,10,209,210,11
11,4,11,210,211,12
12,4,12,211,212,13
13,4,13,212,213,14
14,4,14,213,214,15
15,4,15,214,215,16
16,4,16,215,216,17
17,4,17,216,217,18
18,4,18,217,218,19
19,4,19,218,219,20
20,4,20,219,220,21
21,4,21,220,221,22
22,4,22,221,222,23
23,4,23,222,223,24
24,4,24,223,224,25
25,4,25,224,225,26
26,4,26,225,226,27
27,4,27,226,227,28
28,4,28,227,228,29
29,4,29,228,229,30
30,4,30,229,230,31
31,4,31,230,231,32
32,4,32,231,232,33
33,4,33,232,233,34
34,4,34,233,234,35
35,4,35,234,235,36
36,4,36,235,236,37
37,4,37,236,237,38
38,4,38,237,238,39
39,4,39,238,239,40
40,4,40,239,240,41
41,4,41,240,241,42
42,4,42,241,242,43
43,4,43,242,243,44
44,4,44,243,244,45
45,4,45,244,245,46
46,4,46,245,246,47
47,4,47,246,247,48
48,4,48,247,248,49
49,4,49,248,249,50
50,4,50,249,250,51
51,4,51,250,251,52
52,4,52,251,252,53
53,4,53,252,253,54
54,4,54,253,254,55
55,4,55,254,255,56
56,4,56,255,256,57
57,4,57,256,257,58
58,4,58,257,258,59
59,4,59,258,259,60
60,4,60,259,260,61
61,4,61,260,261,62
62,4,62,261,262,63
63,4,63,262,263,64
64,4,64,263,264,65
65,4,65,264,265,66
66,4,66,265,266,67
67,4,67,266,267,68
68,4,68,267,268,69
69,4,69,268,269,70
70,4,70,269,270,71
71,4,71,270,271,72
72,4,72,271,272,73
73,4,73,272,273,74
74,4,74,273,274,75
75,4,75,274,275,76
76,4,76,275,276,77
77,4,77,276,277,78
78,4,78,277,278,79
79,4,79,278,279,80
80,4,80,279,280,81
81,4,81,280,281,82
82,4,82,281,282,83
83,4,83,282,283,84
84,4,84,283,284,85
85,4,85,284,285,86
86,4,86,285,286,87
87,4,87,286,287,88
88,4,88,287,288,89
89,4,89,288,289,90
90,4,90,289,290,91
91,4,91,290,291,92
92,4,92,291,292,93
93,4,93,292,293,94
94,4,94,293,294,95
95,4,95,294,295,96
96,4,96,295,296,97
97,4,97,296,297,98
98,4,98,297,298,99
99,4,99,298,299,100
100,4,100,299,300,101
101,4,101,300,301,102
102,4,102,301,302,103
103,4,103,302,303,104
104,4,104,303,304,105
105,4,105,304,305,106
106,4,106,305,306,107
107,4,107,306,307,108
108,4,108,307,308,109
109,4,109,308,309,110
110,4,110,309,310,111
111,4,111,310,311,112
112,4,112,311,312,113
113,4,113,312,313,114
114,4,114,313,314,115
115,4,115,314,315,116
116,4,116,315,316,117
117,4,117,316,317,118
118,4,118,317,318,119
119,4,119,318,319,120
120,4,120,319,320,121
121,4,121,320,321,122
122,4,122,321,322,123
123,4,123,322,323,124
124,4,124,323,324,125
125,4,125,324,325,126
126,4,126,325,326,127
127,4,127,326,327,128
128,4,128,327,328,129
129,4,129,328,329,130
130,4,130,329,330,131
131,4,131,330,331,132
132,4,132,331,332,133
133,4,133,332,333,134
134,4,134,333,334,135
135,4,135,334,335,136
136,4,136,335,336,137
137,4,137,336,337,138
138,4,138,337,338,139
139,4,139,338,339,140
140,4,140,339,340,141
141,4,141,340,341,142
142,4,142,341,342,143
143,4,143,342,343,144
144,4,144,343,344,145
145,4,145,344,345,146
146,4,146,345,346,147
147,4,147,346,347,148
148,4,148,347,348,149
149,4,149,348,349,150
150,4,150,349,350,151
151,4,151,350,351,152
152,4,152,351,352,153
153,4,153,352,353,154
154,4,154,353,354,155
155,4,155,354,355,156
156,4,156,355,356,157
157,4,157,356,357,158
158,4,158,357,358,159
159,4,159,358,359,160
160,4,160,359,360,161
161,4,161,360,361,162
162,4,162,361,362,163
163,4,163,362,363,164
164,4,164,363,364,165
165,4,165,364,365,166
166,4,166,365,366,167
167,4,167,366,367,168
168,4,168,367,368,169
169,4,169,368,369,170
170,4,170,369,370,171
171,4,171,370,371,172
172,4,172,371,372,173
173,4,173,372,373,174
174,4,174,373,374,175
175,4,175,374,375,176
176,4,176,375,376,177
177,4,177,376,377,178
178,4,178,377,378,179
179,4,179,378,379,180
180,4,180,379,380,181
181,4,181,380,381,182
182,4,182,381,382,183
183,4,183,382,383,184
184,4,184,383,384,185
185,4,185,384,385,186
186,4,186,385,386,187
187,4,187,386,387,188
188,4,188,387,388,189
189,4,189,388,389,190
190,4,190,389,390,191
191,4,191,390,391,192
192,4,192,391,392,193
193,4,193,392,393,194
194,4,194,393,394,195
195,4,195,394,395,196
196,4,196,395,396,197
197,4,197,396,397,198
198,4,199,398,399,200
199,4,200,399,400,201
200,4,201,400,401,202
201,4,202,401,402,203
202,4,203,402,403,204
203,4,204,403,404,205
204,4,205,404,405,206
205,4,206,405,406,207
206,4,207,406,407,208
207,4,208,407,408,209
208,4,209,408,409,210
209,4,210,409,410,211
210,4,211,410,411,212
211,4,212,411,412,213
212,4,213,412,413,214
213,4,214,413,414,215
214,4,215,414,415,216
215,4,216,415,416,217
216,4,217,416,417,218
217,4,218,417,418,219
218,4,219,418,419,220
219,4,220,419,420,221
220,4,221,420,421,222
221,4,222,421,422,223
222,4,223,422,423,224
223,4,224,423,424,225
224,4,225,424,425,226
225,4,226,425,426,227
226,4,227,426,427,228
227,4,228,427,428,229
228,4,229,428,429,230
229,4,230,429,430,231
230,4,231,430,431,232
231,4,232,431,432,233
232,4,233,432,433,234
233,4,234,433,434,235
234,4,235,434,435,236
235,4,236,435,436,237
236,4,237,436,437,238
